movieId,title,genres
1,Toy Story (1995),Adventure|Comedy
2,Jumanji (1995),Adventure
6,Heat (1995),Action|Crime|Thriller
10,GoldenEye (1995),Action|Adventure|Thriller
11,"American President, The (1995)",Comedy|Drama|Romance
16,Casino (1995),Crime|Drama
17,Sense and Sensibility (1995),Drama|Romance
21,Get Shorty (1995),Comedy|Crime|Thriller
25,Leaving Las Vegas (1995),Drama|Romance
29,"City of Lost Children, The (Cité des enfants perdus, La) (1995)",Adventure|Drama|Sci-Fi
32,Twelve Monkeys (a.k.a. 12 Monkeys) (1995),Sci-Fi|Thriller
34,Babe (1995),Drama
36,Dead Man Walking (1995),Crime|Drama
39,Clueless (1995),Comedy|Romance
45,To Die For (1995),Comedy|Drama|Thriller
47,Seven (a.k.a. Se7en) (1995),Thriller
50,"Usual Suspects, The (1995)",Crime|Thriller
52,Mighty Aphrodite (1995),Comedy|Drama|Romance
58,"Postman, The (Postino, Il) (1994)",Comedy|Drama|Romance
62,Mr. Holland's Opus (1995),Drama
70,From Dusk Till Dawn (1996),Action|Comedy|Horror|Thriller
101,Bottle Rocket (1996),Adventure|Comedy|Crime|Romance
104,Happy Gilmore (1996),Comedy
110,Braveheart (1995),Action|Drama
111,Taxi Driver (1976),Crime|Drama|Thriller
141,"Birdcage, The (1996)",Comedy
150,Apollo 13 (1995),Adventure|Drama
151,Rob Roy (1995),Action|Drama|Romance
161,Crimson Tide (1995),Drama|Thriller
162,Crumb (1994),Documentary
163,Desperado (1995),Action|Romance
165,Die Hard: With a Vengeance (1995),Action|Crime|Thriller
180,Mallrats (1995),Comedy|Romance
198,Strange Days (1995),Action|Crime|Drama|Sci-Fi|Thriller
215,Before Sunrise (1995),Drama|Romance
223,Clerks (1994),Comedy
231,Dumb & Dumber (Dumb and Dumber) (1994),Adventure|Comedy
235,Ed Wood (1994),Comedy|Drama
246,Hoop Dreams (1994),Documentary
247,Heavenly Creatures (1994),Crime|Drama
253,Interview with the Vampire: The Vampire Chronicles (1994),Drama|Horror
260,Star Wars: Episode IV - A New Hope (1977),Action|Adventure|Sci-Fi
265,Like Water for Chocolate (Como agua para chocolate) (1992),Drama|Romance
266,Legends of the Fall (1994),Drama|Romance
272,"Madness of King George, The (1994)",Comedy|Drama
288,Natural Born Killers (1994),Action|Crime|Thriller
292,Outbreak (1995),Action|Drama|Sci-Fi|Thriller
293,Léon: The Professional (a.k.a. The Professional) (Léon) (1994),Action|Crime|Drama|Thriller
296,Pulp Fiction (1994),Comedy|Crime|Drama|Thriller
300,Quiz Show (1994),Drama
306,Three Colors: Red (Trois couleurs: Rouge) (1994),Drama
307,Three Colors: Blue (Trois couleurs: Bleu) (1993),Drama
308,Three Colors: White (Trzy kolory: Bialy) (1994),Comedy|Drama
316,Stargate (1994),Action|Adventure|Sci-Fi
318,"Shawshank Redemption, The (1994)",Crime|Drama
319,Shallow Grave (1994),Comedy|Drama|Thriller
329,Star Trek: Generations (1994),Adventure|Drama|Sci-Fi
337,What's Eating Gilbert Grape (1993),Drama
339,While You Were Sleeping (1995),Comedy|Romance
342,Muriel's Wedding (1994),Comedy
344,Ace Ventura: Pet Detective (1994),Comedy
345,"Adventures of Priscilla, Queen of the Desert, The (1994)",Comedy|Drama
348,Bullets Over Broadway (1994),Comedy
349,Clear and Present Danger (1994),Action|Crime|Drama|Thriller
350,"Client, The (1994)",Drama|Thriller
353,"Crow, The (1994)",Action|Crime|Thriller
356,Forrest Gump (1994),Comedy|Drama|Romance
357,Four Weddings and a Funeral (1994),Comedy|Romance
364,"Lion King, The (1994)",Adventure|Drama
367,"Mask, The (1994)",Action|Comedy|Crime
368,Maverick (1994),Adventure|Comedy
377,Speed (1994),Action|Romance|Thriller
380,True Lies (1994),Action|Adventure|Comedy|Romance|Thriller
410,Addams Family Values (1993),Comedy
428,"Bronx Tale, A (1993)",Drama
431,Carlito's Way (1993),Crime|Drama
440,Dave (1993),Comedy|Romance
441,Dazed and Confused (1993),Comedy
454,"Firm, The (1993)",Drama|Thriller
457,"Fugitive, The (1993)",Thriller
471,"Hudsucker Proxy, The (1994)",Comedy
474,In the Line of Fire (1993),Action|Thriller
475,In the Name of the Father (1993),Drama
480,Jurassic Park (1993),Action|Adventure|Sci-Fi|Thriller
497,Much Ado About Nothing (1993),Comedy|Romance
500,Mrs. Doubtfire (1993),Comedy|Drama
508,Philadelphia (1993),Drama
509,"Piano, The (1993)",Drama|Romance
515,"Remains of the Day, The (1993)",Drama|Romance
527,Schindler's List (1993),Drama
529,Searching for Bobby Fischer (1993),Drama
535,Short Cuts (1993),Drama
539,Sleepless in Seattle (1993),Comedy|Drama|Romance
541,Blade Runner (1982),Action|Sci-Fi|Thriller
553,Tombstone (1993),Action|Drama
555,True Romance (1993),Crime|Thriller
562,Welcome to the Dollhouse (1995),Comedy|Drama
586,Home Alone (1990),Comedy
587,Ghost (1990),Comedy|Drama|Romance|Thriller
588,Aladdin (1992),Adventure|Comedy
589,Terminator 2: Judgment Day (1991),Action|Sci-Fi
590,Dances with Wolves (1990),Adventure|Drama
592,Batman (1989),Action|Crime|Thriller
593,"Silence of the Lambs, The (1991)",Crime|Horror|Thriller
594,Snow White and the Seven Dwarfs (1937),Drama
595,Beauty and the Beast (1991),Romance
597,Pretty Woman (1990),Comedy|Romance
599,"Wild Bunch, The (1969)",Adventure
608,Fargo (1996),Comedy|Crime|Drama|Thriller
628,Primal Fear (1996),Crime|Drama|Thriller
647,Courage Under Fire (1996),Action|Crime|Drama
648,Mission: Impossible (1996),Action|Adventure|Thriller
708,"Truth About Cats & Dogs, The (1996)",Comedy|Romance
720,Wallace & Gromit: The Best of Aardman Animation (1996),Adventure|Comedy
733,"Rock, The (1996)",Action|Adventure|Thriller
736,Twister (1996),Action|Adventure|Romance|Thriller
741,Ghost in the Shell (Kôkaku kidôtai) (1995),Sci-Fi
745,Wallace & Gromit: A Close Shave (1995),Comedy
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),Comedy
778,Trainspotting (1996),Comedy|Crime|Drama
780,Independence Day (a.k.a. ID4) (1996),Action|Adventure|Sci-Fi|Thriller
785,Kingpin (1996),Comedy
799,"Frighteners, The (1996)",Comedy|Horror|Thriller
800,Lone Star (1996),Drama
802,Phenomenon (1996),Drama|Romance
805,"Time to Kill, A (1996)",Drama|Thriller
832,Ransom (1996),Crime|Thriller
858,"Godfather, The (1972)",Crime|Drama
866,Bound (1996),Crime|Drama|Romance|Thriller
898,"Philadelphia Story, The (1940)",Comedy|Drama|Romance
899,Singin' in the Rain (1952),Comedy|Romance
902,Breakfast at Tiffany's (1961),Drama|Romance
903,Vertigo (1958),Drama|Romance|Thriller
904,Rear Window (1954),Thriller
905,It Happened One Night (1934),Comedy|Romance
908,North by Northwest (1959),Action|Adventure|Romance|Thriller
909,"Apartment, The (1960)",Comedy|Drama|Romance
910,Some Like It Hot (1959),Comedy|Crime
911,Charade (1963),Comedy|Crime|Romance|Thriller
912,Casablanca (1942),Drama|Romance
914,My Fair Lady (1964),Comedy|Drama|Romance
915,Sabrina (1954),Comedy|Romance
916,Roman Holiday (1953),Comedy|Drama|Romance
919,"Wizard of Oz, The (1939)",Adventure
920,Gone with the Wind (1939),Drama|Romance
922,Sunset Blvd. (a.k.a. Sunset Boulevard) (1950),Drama|Romance
923,Citizen Kane (1941),Drama
924,2001: A Space Odyssey (1968),Adventure|Drama|Sci-Fi
926,All About Eve (1950),Drama
928,Rebecca (1940),Drama|Romance|Thriller
930,Notorious (1946),Romance|Thriller
931,Spellbound (1945),Romance|Thriller
933,To Catch a Thief (1955),Crime|Romance|Thriller
940,"Adventures of Robin Hood, The (1938)",Action|Adventure|Romance
942,Laura (1944),Crime
950,"Thin Man, The (1934)",Comedy|Crime
951,His Girl Friday (1940),Comedy|Romance
953,It's a Wonderful Life (1946),Drama|Romance
954,Mr. Smith Goes to Washington (1939),Drama
955,Bringing Up Baby (1938),Comedy|Romance
965,"39 Steps, The (1935)",Drama|Thriller
968,Night of the Living Dead (1968),Horror|Sci-Fi|Thriller
969,"African Queen, The (1951)",Adventure|Comedy|Romance
971,Cat on a Hot Tin Roof (1958),Drama
994,Big Night (1996),Comedy|Drama
1019,"20,000 Leagues Under the Sea (1954)",Adventure|Drama|Sci-Fi
1022,Cinderella (1950),Romance
1027,Robin Hood: Prince of Thieves (1991),Adventure|Drama
1028,Mary Poppins (1964),Comedy
1029,Dumbo (1941),Drama
1032,Alice in Wonderland (1951),Adventure
1035,"Sound of Music, The (1965)",Romance
1036,Die Hard (1988),Action|Crime|Thriller
1041,Secrets & Lies (1996),Drama
1042,That Thing You Do! (1996),Comedy|Drama
1047,"Long Kiss Goodnight, The (1996)",Action|Drama|Thriller
1059,William Shakespeare's Romeo + Juliet (1996),Drama|Romance
1060,Swingers (1996),Comedy|Drama
1061,Sleepers (1996),Thriller
1073,Willy Wonka & the Chocolate Factory (1971),Comedy
1077,Sleeper (1973),Comedy|Sci-Fi
1078,Bananas (1971),Comedy
1079,"Fish Called Wanda, A (1988)",Comedy|Crime
1080,Monty Python's Life of Brian (1979),Comedy
1084,Bonnie and Clyde (1967),Crime|Drama
1086,Dial M for Murder (1954),Crime|Thriller
1088,Dirty Dancing (1987),Drama|Romance
1089,Reservoir Dogs (1992),Crime|Thriller
1090,Platoon (1986),Drama
1092,Basic Instinct (1992),Crime|Thriller
1093,"Doors, The (1991)",Drama
1094,"Crying Game, The (1992)",Drama|Romance|Thriller
1095,Glengarry Glen Ross (1992),Drama
1096,Sophie's Choice (1982),Drama
1097,E.T. the Extra-Terrestrial (1982),Drama|Sci-Fi
1101,Top Gun (1986),Action|Romance
1103,Rebel Without a Cause (1955),Drama
1104,"Streetcar Named Desire, A (1951)",Drama
1120,"People vs. Larry Flynt, The (1996)",Comedy|Drama
1124,On Golden Pond (1981),Drama
1127,"Abyss, The (1989)",Action|Adventure|Sci-Fi|Thriller
1129,Escape from New York (1981),Action|Adventure|Sci-Fi|Thriller
1136,Monty Python and the Holy Grail (1975),Adventure|Comedy
1148,Wallace & Gromit: The Wrong Trousers (1993),Comedy|Crime
1172,Cinema Paradiso (Nuovo cinema Paradiso) (1989),Drama
1175,Delicatessen (1991),Comedy|Drama|Romance
1178,Paths of Glory (1957),Drama
1179,"Grifters, The (1990)",Crime|Drama
1183,"English Patient, The (1996)",Drama|Romance
1185,My Left Foot (1989),Drama
1186,"Sex, Lies, and Videotape (1989)",Drama
1188,Strictly Ballroom (1992),Comedy|Romance
1189,"Thin Blue Line, The (1988)",Documentary
1193,One Flew Over the Cuckoo's Nest (1975),Drama
1196,Star Wars: Episode V - The Empire Strikes Back (1980),Action|Adventure|Sci-Fi
1197,"Princess Bride, The (1987)",Action|Adventure|Comedy|Romance
1198,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),Action|Adventure
1199,Brazil (1985),Sci-Fi
1200,Aliens (1986),Action|Adventure|Horror|Sci-Fi
1201,"Good, the Bad and the Ugly, The (Buono, il brutto, il cattivo, Il) (1966)",Action|Adventure
1203,12 Angry Men (1957),Drama
1204,Lawrence of Arabia (1962),Adventure|Drama
1206,"Clockwork Orange, A (1971)",Crime|Drama|Sci-Fi|Thriller
1207,To Kill a Mockingbird (1962),Drama
1208,Apocalypse Now (1979),Action|Drama
1209,Once Upon a Time in the West (C'era una volta il West) (1968),Action|Drama
1210,Star Wars: Episode VI - Return of the Jedi (1983),Action|Adventure|Sci-Fi
1212,"Third Man, The (1949)",Thriller
1213,Goodfellas (1990),Crime|Drama
1214,Alien (1979),Horror|Sci-Fi
1215,Army of Darkness (1993),Action|Adventure|Comedy|Horror
1217,Ran (1985),Drama
1219,Psycho (1960),Crime|Horror
1220,"Blues Brothers, The (1980)",Action|Comedy
1221,"Godfather: Part II, The (1974)",Crime|Drama
1222,Full Metal Jacket (1987),Drama
1223,"Grand Day Out with Wallace and Gromit, A (1989)",Adventure|Comedy|Sci-Fi
1224,Henry V (1989),Action|Drama|Romance
1225,Amadeus (1984),Drama
1227,Once Upon a Time in America (1984),Crime|Drama
1228,Raging Bull (1980),Drama
1230,Annie Hall (1977),Comedy|Romance
1231,"Right Stuff, The (1983)",Drama
1233,"Boot, Das (Boat, The) (1981)",Action|Drama
1234,"Sting, The (1973)",Comedy|Crime
1235,Harold and Maude (1971),Comedy|Drama|Romance
1237,"Seventh Seal, The (Sjunde inseglet, Det) (1957)",Drama
1240,"Terminator, The (1984)",Action|Sci-Fi|Thriller
1242,Glory (1989),Drama
1244,Manhattan (1979),Comedy|Drama|Romance
1245,Miller's Crossing (1990),Crime|Drama|Thriller
1246,Dead Poets Society (1989),Drama
1247,"Graduate, The (1967)",Comedy|Drama|Romance
1248,Touch of Evil (1958),Crime|Thriller
1249,"Femme Nikita, La (Nikita) (1990)",Action|Crime|Romance|Thriller
1250,"Bridge on the River Kwai, The (1957)",Adventure|Drama
1251,8 1/2 (8½) (1963),Drama
1252,Chinatown (1974),Crime|Thriller
1253,"Day the Earth Stood Still, The (1951)",Drama|Sci-Fi|Thriller
1254,"Treasure of the Sierra Madre, The (1948)",Action|Adventure|Drama
1256,Duck Soup (1933),Comedy
1257,Better Off Dead... (1985),Comedy|Romance
1258,"Shining, The (1980)",Horror
1259,Stand by Me (1986),Adventure|Drama
1260,M (1931),Crime|Thriller
1261,Evil Dead II (Dead by Dawn) (1987),Action|Comedy|Horror
1262,"Great Escape, The (1963)",Action|Adventure|Drama
1263,"Deer Hunter, The (1978)",Drama
1265,Groundhog Day (1993),Comedy|Romance
1266,Unforgiven (1992),Drama
1267,"Manchurian Candidate, The (1962)",Crime|Thriller
1269,Arsenic and Old Lace (1944),Comedy|Thriller
1270,Back to the Future (1985),Adventure|Comedy|Sci-Fi
1271,Fried Green Tomatoes (1991),Comedy|Crime|Drama
1272,Patton (1970),Drama
1274,Akira (1988),Action|Adventure|Sci-Fi
1275,Highlander (1986),Action|Adventure
1276,Cool Hand Luke (1967),Drama
1278,Young Frankenstein (1974),Comedy
1281,"Great Dictator, The (1940)",Comedy|Drama
1283,High Noon (1952),Drama
1284,"Big Sleep, The (1946)",Crime
1285,Heathers (1989),Comedy
1287,Ben-Hur (1959),Action|Adventure|Drama
1288,This Is Spinal Tap (1984),Comedy
1291,Indiana Jones and the Last Crusade (1989),Action|Adventure
1292,Being There (1979),Comedy|Drama
1293,Gandhi (1982),Drama
1296,"Room with a View, A (1986)",Drama|Romance
1298,Pink Floyd: The Wall (1982),Drama
1299,"Killing Fields, The (1984)",Drama
1301,Forbidden Planet (1956),Drama|Sci-Fi
1302,Field of Dreams (1989),Drama
1303,"Man Who Would Be King, The (1975)",Adventure|Drama
1304,Butch Cassidy and the Sundance Kid (1969),Action
1307,When Harry Met Sally... (1989),Comedy|Romance
1320,Alien³ (a.k.a. Alien 3) (1992),Action|Horror|Sci-Fi|Thriller
1321,"American Werewolf in London, An (1981)",Comedy|Horror|Thriller
1333,"Birds, The (1963)",Horror|Thriller
1339,Dracula (Bram Stoker's Dracula) (1992),Horror|Romance|Thriller
1340,"Bride of Frankenstein, The (Bride of Frankenstein) (1935)",Drama|Horror|Sci-Fi
1343,Cape Fear (1991),Thriller
1344,Cape Fear (1962),Crime|Drama|Thriller
1345,Carrie (1976),Drama|Horror|Thriller
1347,"Nightmare on Elm Street, A (1984)",Horror|Thriller
1348,"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",Horror
1350,"Omen, The (1976)",Horror|Thriller
1354,Breaking the Waves (1996),Drama
1356,Star Trek: First Contact (1996),Action|Adventure|Sci-Fi|Thriller
1357,Shine (1996),Drama|Romance
1358,Sling Blade (1996),Drama
1370,Die Hard 2 (1990),Action|Adventure|Thriller
1372,Star Trek VI: The Undiscovered Country (1991),Action|Sci-Fi
1374,Star Trek II: The Wrath of Khan (1982),Action|Adventure|Sci-Fi|Thriller
1375,Star Trek III: The Search for Spock (1984),Action|Adventure|Sci-Fi
1376,Star Trek IV: The Voyage Home (1986),Adventure|Comedy|Sci-Fi
1377,Batman Returns (1992),Action|Crime
1380,Grease (1978),Comedy|Romance
1387,Jaws (1975),Action|Horror
1391,Mars Attacks! (1996),Action|Comedy|Sci-Fi
1393,Jerry Maguire (1996),Drama|Romance
1394,Raising Arizona (1987),Comedy
1396,Sneakers (1992),Action|Comedy|Crime|Drama|Sci-Fi
1407,Scream (1996),Comedy|Horror|Thriller
1408,"Last of the Mohicans, The (1992)",Action|Romance
1411,Hamlet (1996),Crime|Drama|Romance
1441,Benny & Joon (1993),Comedy|Romance
1449,Waiting for Guffman (1996),Comedy
1466,Donnie Brasco (1997),Crime|Drama
1485,Liar Liar (1997),Comedy
1500,Grosse Pointe Blank (1997),Comedy|Crime|Romance
1517,Austin Powers: International Man of Mystery (1997),Action|Adventure|Comedy
1527,"Fifth Element, The (1997)",Action|Adventure|Comedy|Sci-Fi
1544,"Lost World: Jurassic Park, The (1997)",Action|Adventure|Sci-Fi|Thriller
1552,Con Air (1997),Action|Adventure|Thriller
1569,My Best Friend's Wedding (1997),Comedy|Romance
1573,Face/Off (1997),Action|Crime|Drama|Thriller
1580,Men in Black (a.k.a. MIB) (1997),Action|Comedy|Sci-Fi
1584,Contact (1997),Drama|Sci-Fi
1587,Conan the Barbarian (1982),Action|Adventure
1589,Cop Land (1997),Action|Crime|Drama|Thriller
1597,Conspiracy Theory (1997),Drama|Romance|Thriller
1608,Air Force One (1997),Action|Thriller
1610,"Hunt for Red October, The (1990)",Action|Adventure|Thriller
1617,L.A. Confidential (1997),Crime|Thriller
1625,"Game, The (1997)",Drama|Thriller
1635,"Ice Storm, The (1997)",Drama
1639,Chasing Amy (1997),Comedy|Drama|Romance
1641,"Full Monty, The (1997)",Comedy|Drama
1645,"Devil's Advocate, The (1997)",Drama|Thriller
1653,Gattaca (1997),Drama|Sci-Fi|Thriller
1663,Stripes (1981),Comedy
1672,"Rainmaker, The (1997)",Drama
1673,Boogie Nights (1997),Drama
1674,Witness (1985),Drama|Romance|Thriller
1676,Starship Troopers (1997),Action|Sci-Fi
1678,"Joy Luck Club, The (1993)",Drama|Romance
1680,Sliding Doors (1998),Drama|Romance
1682,"Truman Show, The (1998)",Comedy|Drama|Sci-Fi
1690,Alien: Resurrection (1997),Action|Horror|Sci-Fi
1693,Amistad (1997),Drama
1704,Good Will Hunting (1997),Drama|Romance
1711,Midnight in the Garden of Good and Evil (1997),Crime|Drama
1719,"Sweet Hereafter, The (1997)",Drama
1721,Titanic (1997),Drama|Romance
1722,Tomorrow Never Dies (1997),Action|Adventure|Thriller
1729,Jackie Brown (1997),Crime|Drama|Thriller
1732,"Big Lebowski, The (1998)",Comedy|Crime
1747,Wag the Dog (1997),Comedy
1748,Dark City (1998),Adventure|Sci-Fi|Thriller
1777,"Wedding Singer, The (1998)",Comedy|Romance
1784,As Good as It Gets (1997),Comedy|Drama|Romance
1805,Wild Things (1998),Crime|Drama|Thriller
1810,Primary Colors (1998),Comedy|Drama
1834,"Spanish Prisoner, The (1997)",Crime|Drama|Thriller
1876,Deep Impact (1998),Drama|Sci-Fi|Thriller
1883,Bulworth (1998),Comedy|Drama|Romance
1884,Fear and Loathing in Las Vegas (1998),Adventure|Comedy|Drama
1907,Mulan (1998),Adventure|Comedy|Drama|Romance
1909,"X-Files: Fight the Future, The (1998)",Action|Crime|Sci-Fi|Thriller
1912,Out of Sight (1998),Comedy|Crime|Drama|Romance|Thriller
1917,Armageddon (1998),Action|Romance|Sci-Fi|Thriller
1921,Pi (1998),Drama|Sci-Fi|Thriller
1923,There's Something About Mary (1998),Comedy|Romance
1944,From Here to Eternity (1953),Drama|Romance
1945,On the Waterfront (1954),Crime|Drama
